Info_oficinas
En el bloque M8  en el piso 1  número 116  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M8  en el piso 1  número nan  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M8  en el piso 1  número NN  se encuentra el espacio Sala de Proyectos - Grupo Estudiantil Ampere en el campus Robledo.
En el bloque M8  en el piso 2  número 201  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M8  en el piso 2  número 202  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M8  en el piso 2  número Of 3  se encuentra el espacio Oficina Profesor - Germán Darío Zapata Madrigal en el campus Robledo.
En el bloque M8  en el piso 2  número 202  se encuentra el espacio Oficina Profesor - Ernesto Pérez González en el campus Robledo.
En el bloque M8  en el piso 2  número 203  se encuentra el espacio Oficina Profesor - Carlos Andrés Ramos Paja en el campus Robledo.
En el bloque M8  en el piso 2  número 204  se encuentra el espacio Oficina Profesor - Héctor Antonio Botero Castro en el campus Robledo.
En el bloque M8  en el piso 2  número 205  se encuentra el espacio Oficina Profesora - Eliana Isabel Arango Zuluaga en el campus Robledo.
En el bloque M8  en el piso 2  número 206  se encuentra el espacio Oficina Profesor - Freddy Bolaños Martínez en el campus Robledo.
En el bloque M8  en el piso 2  número 207  se encuentra el espacio Oficina Profesora - Mónica Aydé Vallejo Velásquez en el campus Robledo.
En el bloque M8  en el piso 2  número 304  se encuentra el espacio Oficina Profesor - Gustavo Ramírez Piedrahita en el campus Robledo.
En el bloque M8  en el piso 2  número 208  se encuentra el espacio Oficina Profesor - Javier Gustavo Herrera Murcia en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Profesor - Jesús Antonio Hernández Riveros en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Profesor - Guillermo González Calderón en el campus Robledo.
En el bloque M8  en el piso 3  número nan  se encuentra el espacio Oficina Estudiantes de Posgrado en el campus Robledo.
